====== He (2727.6) into Foam_Strut              =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : Foam_Strut
Layer Width = 13000.E+01 A ;
  Layer # 1- Density = 8.153E22 atoms/cm3 = 1.2 g/cm3
  Layer # 1- Li = 5.61 Atomic Percent = 4.39 Mass Percent
  Layer # 1-  F = 5.61 Atomic Percent = 12.0 Mass Percent
  Layer # 1-  H = 29.5 Atomic Percent = 3.36 Mass Percent
  Layer # 1-  C = 59.1 Atomic Percent = 80.2 Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
130001.E-02  1753.23E-02  2718.90E-07
260001.E-02  1759.29E-02  1549.27E-06
390001.E-02  1768.62E-02  2648.10E-06
520001.E-02  1776.22E-02  2344.86E-06
650001.E-02  1786.85E-02  2358.38E-06
780001.E-02  1796.63E-02  3003.34E-06
910001.E-02  1806.85E-02  2515.00E-06
104000.E-01  1817.80E-02  1897.71E-06
117000.E-01  1828.20E-02  3421.10E-06
130000.E-01  1839.97E-02  2349.90E-06
143000.E-01  1852.14E-02  2369.12E-06
156000.E-01  1862.92E-02  2211.19E-05
169000.E-01  1875.64E-02  2447.01E-05
182000.E-01  1889.16E-02  4675.38E-06
195000.E-01  1899.77E-02  1797.75E-06
208000.E-01  1910.98E-02  4402.21E-06
221000.E-01  1925.23E-02  3744.24E-06
234000.E-01  1938.65E-02  5240.10E-06
247000.E-01  1949.52E-02  1967.25E-06
260000.E-01  1962.30E-02  2924.72E-06
273000.E-01  1976.88E-02  6190.38E-06
286000.E-01  1991.01E-02  2221.32E-06
299000.E-01  2004.76E-02  1426.57E-05
312000.E-01  2018.32E-02  2626.76E-06
325000.E-01  2033.18E-02  2842.20E-06
338000.E-01  2048.79E-02  3117.27E-06
351000.E-01  2062.45E-02  8276.80E-05
364000.E-01  2077.70E-02  4474.13E-06
377000.E-01  2094.21E-02  6471.69E-06
390000.E-01  2110.68E-02  4385.37E-06
403000.E-01  2126.40E-02  1113.17E-05
416000.E-01  2141.76E-02  3833.17E-06
429000.E-01  2157.97E-02  6870.88E-05
442000.E-01  2175.45E-02  3747.90E-06
455000.E-01  2191.15E-02  2018.68E-05
468000.E-01  2204.32E-02  5444.72E-06
481000.E-01  2223.70E-02  6918.11E-06
494000.E-01  2244.30E-02  4873.49E-06
507000.E-01  2263.49E-02  1487.56E-05
520000.E-01  2280.60E-02  6270.31E-06
533000.E-01  2295.82E-02  5869.79E-06
546000.E-01  2311.82E-02  8305.27E-06
559000.E-01  2328.04E-02  6331.62E-06
572000.E-01  2344.13E-02  7138.49E-06
585000.E-01  2366.76E-02  3772.25E-05
598000.E-01  2380.70E-02  6660.34E-06
611000.E-01  2393.26E-02  1874.09E-05
624000.E-01  2408.34E-02  6079.36E-06
637000.E-01  2423.44E-02  7748.21E-06
650000.E-01  2434.95E-02  9222.16E-06
663000.E-01  2444.65E-02  8339.82E-06
676000.E-01  2454.98E-02  9478.74E-06
689000.E-01  2462.77E-02  1527.49E-05
702000.E-01  2464.95E-02  2214.34E-05
715000.E-01  2467.83E-02  8808.68E-06
728000.E-01  2466.72E-02  9979.77E-06
741000.E-01  2458.17E-02  1249.11E-05
754000.E-01  2449.58E-02  1365.50E-05
767000.E-01  2432.59E-02  1244.42E-05
780000.E-01  2406.64E-02  3511.63E-05
793000.E-01  2377.86E-02  1484.03E-05
806000.E-01  2338.29E-02  3936.42E-05
819000.E-01  2291.36E-02  2728.16E-05
832000.E-01  2236.42E-02  2556.76E-05
845000.E-01  2173.13E-02  1747.18E-05
858000.E-01  2093.65E-02  4917.95E-05
871000.E-01  2005.30E-02  2903.19E-05
884000.E-01  1907.42E-02  2983.22E-05
897000.E-01  1806.97E-02  4951.06E-05
910000.E-01  1692.71E-02  5322.89E-05
923000.E-01  1573.19E-02  5322.45E-05
936000.E-01  1449.47E-02  6141.72E-05
949000.E-01  1319.51E-02  7872.22E-05
962000.E-01  1193.64E-02  1049.42E-04
975000.E-01  1045.39E-02  1191.00E-04
988000.E-01  8806.07E-03  1601.92E-04
100100.E+00  6910.40E-03  2174.30E-04
101400.E+00  4467.78E-03  2532.02E-04
102700.E+00  1964.07E-03  1758.40E-04
104000.E+00  4577.78E-04  5775.89E-05
105300.E+00  5343.99E-05  8263.03E-06
106600.E+00  3482.65E-06  5616.86E-07
107900.E+00  3415.49E-07  8300.84E-08
109200.E+00  0000.00E+00  0000.00E+00
110500.E+00  0000.00E+00  0000.00E+00
111800.E+00  0000.00E+00  0000.00E+00
113100.E+00  0000.00E+00  0000.00E+00
114400.E+00  0000.00E+00  0000.00E+00
115700.E+00  0000.00E+00  0000.00E+00
117000.E+00  0000.00E+00  0000.00E+00
118300.E+00  0000.00E+00  0000.00E+00
119600.E+00  0000.00E+00  0000.00E+00
120900.E+00  0000.00E+00  0000.00E+00
122200.E+00  0000.00E+00  0000.00E+00
123500.E+00  0000.00E+00  0000.00E+00
124800.E+00  0000.00E+00  0000.00E+00
126100.E+00  0000.00E+00  0000.00E+00
127400.E+00  0000.00E+00  0000.00E+00
128700.E+00  0000.00E+00  0000.00E+00
130000.E+00  0000.00E+00  0000.00E+00
