====== H (2055.3) into Layer 1                  =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 60000.E+04 A ;
  Layer # 1- Density = 3.417E19 atoms/cm3 = 2.267 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
600000.E+01  3584.37E-06  7247.64E-11
120000.E+02  3594.62E-06  7951.76E-10
180000.E+02  3603.01E-06  4062.24E-10
240000.E+02  3624.78E-06  3617.16E-09
300000.E+02  3641.33E-06  2159.00E-10
360000.E+02  3656.34E-06  3745.03E-10
420000.E+02  3672.45E-06  6497.52E-10
480000.E+02  3694.36E-06  2965.66E-10
540000.E+02  3711.50E-06  3179.15E-10
600000.E+02  3727.00E-06  3516.99E-10
660000.E+02  3747.47E-06  2389.35E-10
720000.E+02  3769.36E-06  3234.31E-10
780000.E+02  3792.08E-06  2892.21E-09
840000.E+02  3817.23E-06  4213.06E-10
900000.E+02  3837.54E-06  2057.08E-10
960000.E+02  3858.85E-06  3507.92E-10
102000.E+03  3880.25E-06  8018.78E-10
108000.E+03  3901.41E-06  1526.36E-09
114000.E+03  3923.75E-06  5899.21E-10
120000.E+03  3948.93E-06  1004.88E-09
126000.E+03  3973.71E-06  3235.54E-10
132000.E+03  3990.46E-06  1442.36E-09
138000.E+03  4014.76E-06  2476.68E-10
144000.E+03  4043.81E-06  2859.80E-10
150000.E+03  4072.91E-06  4953.11E-10
156000.E+03  4100.27E-06  6521.23E-09
162000.E+03  4126.94E-06  1084.95E-09
168000.E+03  4152.33E-06  4597.87E-10
174000.E+03  4178.24E-06  6091.84E-10
180000.E+03  4202.03E-06  3369.15E-10
186000.E+03  4233.36E-06  6624.67E-10
192000.E+03  4269.46E-06  4091.41E-09
198000.E+03  4299.51E-06  1754.63E-09
204000.E+03  4329.75E-06  8585.76E-10
210000.E+03  4362.33E-06  3448.39E-10
216000.E+03  4400.32E-06  3050.92E-10
222000.E+03  4436.03E-06  3920.53E-10
228000.E+03  4467.14E-06  4171.46E-10
234000.E+03  4516.54E-06  1173.25E-09
240000.E+03  4549.28E-06  3780.01E-09
246000.E+03  4577.75E-06  1216.83E-09
252000.E+03  4620.56E-06  5875.01E-10
258000.E+03  4663.97E-06  6339.38E-10
264000.E+03  4698.92E-06  5861.29E-10
270000.E+03  4741.00E-06  8327.36E-10
276000.E+03  4798.21E-06  4278.07E-09
282000.E+03  4849.98E-06  8267.72E-10
288000.E+03  4893.62E-06  3288.79E-09
294000.E+03  4944.83E-06  3887.97E-10
300000.E+03  4997.72E-06  5219.64E-10
306000.E+03  5049.15E-06  5458.32E-10
312000.E+03  5103.16E-06  6406.23E-10
318000.E+03  5167.41E-06  4457.99E-10
324000.E+03  5233.29E-06  9642.48E-10
330000.E+03  5299.99E-06  1216.85E-09
336000.E+03  5364.35E-06  8381.14E-10
342000.E+03  5435.78E-06  1226.52E-09
348000.E+03  5518.62E-06  1144.87E-09
354000.E+03  5592.78E-06  3324.45E-09
360000.E+03  5684.88E-06  7906.84E-10
366000.E+03  5767.57E-06  1268.09E-09
372000.E+03  5881.89E-06  9877.67E-10
378000.E+03  5982.02E-06  8810.25E-10
384000.E+03  6090.19E-06  8476.08E-10
390000.E+03  6218.42E-06  1140.47E-09
396000.E+03  6353.09E-06  8146.67E-10
402000.E+03  6496.85E-06  8640.80E-10
408000.E+03  6664.20E-06  1737.29E-09
414000.E+03  6841.36E-06  1176.95E-09
420000.E+03  7046.56E-06  3350.17E-09
426000.E+03  7260.14E-06  2382.25E-09
432000.E+03  7509.40E-06  1204.42E-09
438000.E+03  7805.58E-06  3237.17E-09
444000.E+03  8120.64E-06  2326.35E-09
450000.E+03  8494.52E-06  3360.11E-09
456000.E+03  8946.53E-06  2668.24E-09
462000.E+03  9457.63E-06  2953.22E-09
468000.E+03  1004.25E-05  2623.13E-09
474000.E+03  1062.31E-05  3857.47E-09
480000.E+03  1109.44E-05  3537.75E-09
486000.E+03  1114.38E-05  5349.70E-09
492000.E+03  1040.67E-05  7929.59E-09
498000.E+03  8594.75E-06  1300.97E-08
504000.E+03  5885.64E-06  1923.73E-08
510000.E+03  2947.89E-06  1875.51E-08
516000.E+03  9149.35E-07  8839.23E-09
522000.E+03  1548.53E-07  2165.65E-09
528000.E+03  1208.45E-08  2291.56E-10
534000.E+03  1517.18E-10  8415.85E-12
540000.E+03  0000.00E+00  0000.00E+00
546000.E+03  0000.00E+00  0000.00E+00
552000.E+03  0000.00E+00  0000.00E+00
558000.E+03  0000.00E+00  0000.00E+00
564000.E+03  0000.00E+00  0000.00E+00
570000.E+03  0000.00E+00  0000.00E+00
576000.E+03  0000.00E+00  0000.00E+00
582000.E+03  0000.00E+00  0000.00E+00
588000.E+03  0000.00E+00  0000.00E+00
594000.E+03  0000.00E+00  0000.00E+00
600000.E+03  0000.00E+00  0000.00E+00
