====== He (2727.6) into Layer 1                 =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 12000.E+02 A ;
  Layer # 1- Density = 2.686E19 atoms/cm3 = .1781 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
120000.E-01  1584.06E-03  6420.93E-08
240000.E-01  1587.04E-03  1698.39E-07
360000.E-01  1591.79E-03  1242.56E-07
480000.E-01  1599.98E-03  9324.58E-07
600000.E-01  1604.29E-03  1277.74E-07
720000.E-01  1611.76E-03  2746.37E-07
840000.E-01  1620.64E-03  1662.41E-07
960000.E-01  1630.24E-03  5021.79E-07
108000.E+00  1639.14E-03  1183.78E-07
120000.E+00  1647.23E-03  1852.05E-07
132000.E+00  1655.13E-03  2894.73E-07
144000.E+00  1662.52E-03  3151.84E-06
156000.E+00  1670.90E-03  3059.47E-07
168000.E+00  1678.72E-03  2517.20E-07
180000.E+00  1688.23E-03  1409.42E-07
192000.E+00  1698.10E-03  1327.20E-07
204000.E+00  1708.82E-03  1560.40E-07
216000.E+00  1719.38E-03  7474.21E-07
228000.E+00  1728.99E-03  3013.47E-07
240000.E+00  1738.60E-03  4607.39E-07
252000.E+00  1749.13E-03  4021.63E-07
264000.E+00  1759.50E-03  1828.31E-07
276000.E+00  1771.54E-03  2654.72E-07
288000.E+00  1783.99E-03  2182.26E-07
300000.E+00  1795.88E-03  1503.27E-07
312000.E+00  1806.75E-03  2587.90E-07
324000.E+00  1817.51E-03  2308.67E-07
336000.E+00  1829.30E-03  3585.71E-07
348000.E+00  1841.15E-03  1121.62E-07
360000.E+00  1854.38E-03  1680.39E-07
372000.E+00  1866.34E-03  1706.53E-06
384000.E+00  1877.90E-03  3875.37E-07
396000.E+00  1890.64E-03  5483.50E-07
408000.E+00  1903.42E-03  2282.78E-07
420000.E+00  1916.82E-03  2425.36E-07
432000.E+00  1930.90E-03  2433.21E-07
444000.E+00  1944.68E-03  4658.81E-07
456000.E+00  1957.72E-03  2881.66E-07
468000.E+00  1971.02E-03  3475.47E-07
480000.E+00  1987.22E-03  2780.44E-07
492000.E+00  2005.12E-03  2139.33E-07
504000.E+00  2019.36E-03  4739.27E-07
516000.E+00  2033.88E-03  2635.68E-07
528000.E+00  2050.10E-03  8302.52E-07
540000.E+00  2065.94E-03  2374.35E-07
552000.E+00  2081.29E-03  2107.41E-06
564000.E+00  2099.22E-03  5493.55E-07
576000.E+00  2115.13E-03  5756.96E-07
588000.E+00  2132.50E-03  3643.85E-07
600000.E+00  2150.24E-03  5602.49E-07
612000.E+00  2169.74E-03  8257.81E-07
624000.E+00  2186.77E-03  4551.02E-07
636000.E+00  2197.97E-03  1132.87E-06
648000.E+00  2214.03E-03  6539.26E-07
660000.E+00  2232.48E-03  3713.84E-07
672000.E+00  2251.49E-03  6050.21E-07
684000.E+00  2269.04E-03  5149.81E-07
696000.E+00  2283.59E-03  4254.36E-07
708000.E+00  2298.48E-03  1244.36E-06
720000.E+00  2311.37E-03  6756.17E-07
732000.E+00  2323.97E-03  1241.59E-06
744000.E+00  2331.68E-03  1232.32E-06
756000.E+00  2337.28E-03  6723.64E-07
768000.E+00  2342.90E-03  1077.51E-06
780000.E+00  2342.96E-03  8977.01E-07
792000.E+00  2340.63E-03  1704.38E-06
804000.E+00  2332.99E-03  9448.51E-07
816000.E+00  2324.10E-03  7853.23E-07
828000.E+00  2304.31E-03  1176.69E-06
840000.E+00  2277.28E-03  8675.14E-07
852000.E+00  2242.35E-03  8822.11E-07
864000.E+00  2199.43E-03  1566.56E-06
876000.E+00  2148.98E-03  1248.66E-06
888000.E+00  2087.66E-03  1450.91E-06
900000.E+00  2017.85E-03  1324.88E-06
912000.E+00  1939.28E-03  1268.17E-06
924000.E+00  1853.77E-03  1504.12E-06
936000.E+00  1773.81E-03  1808.85E-06
948000.E+00  1690.72E-03  1960.32E-06
960000.E+00  1610.98E-03  2274.64E-06
972000.E+00  1536.54E-03  1818.26E-06
984000.E+00  1466.07E-03  2734.44E-06
996000.E+00  1391.92E-03  2458.30E-06
100800.E+01  1322.82E-03  3387.70E-06
102000.E+01  1237.60E-03  3356.61E-06
103200.E+01  1140.48E-03  4007.58E-06
104400.E+01  1035.23E-03  4925.60E-06
105600.E+01  9299.20E-04  4912.73E-06
106800.E+01  8268.46E-04  6024.38E-06
108000.E+01  7290.09E-04  7449.40E-06
109200.E+01  6464.52E-04  8830.75E-06
110400.E+01  5596.81E-04  1016.22E-05
111600.E+01  4593.71E-04  1081.30E-05
112800.E+01  3524.15E-04  1081.30E-05
114000.E+01  2425.60E-04  9503.67E-06
115200.E+01  1450.47E-04  6705.46E-06
116400.E+01  7049.92E-05  3957.88E-06
117600.E+01  2616.98E-05  1690.30E-06
118800.E+01  6993.97E-06  4809.44E-07
120000.E+01  1859.84E-06  1554.43E-07
