====== He (2727.6) into ARGON                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 30000.E+03 A ;
  Layer # 1- Density = 1.074E19 atoms/cm3 = .0071 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
300000.E+00  6329.88E-05  4540.48E-09
600000.E+00  6341.71E-05  2148.59E-09
900000.E+00  6369.80E-05  4994.70E-09
120000.E+01  6403.84E-05  3637.30E-08
150000.E+01  6420.39E-05  7150.52E-09
180000.E+01  6448.67E-05  1243.58E-08
210000.E+01  6487.22E-05  7420.43E-09
240000.E+01  6529.53E-05  5047.88E-09
270000.E+01  6566.52E-05  4706.50E-09
300000.E+01  6596.19E-05  4678.87E-09
330000.E+01  6623.17E-05  1158.04E-08
360000.E+01  6649.29E-05  1263.81E-07
390000.E+01  6684.27E-05  9053.10E-09
420000.E+01  6718.26E-05  9598.33E-09
450000.E+01  6759.70E-05  5033.37E-09
480000.E+01  6799.31E-05  8222.97E-09
510000.E+01  6837.85E-05  6378.51E-09
540000.E+01  6876.24E-05  3065.41E-08
570000.E+01  6915.80E-05  1401.24E-08
600000.E+01  6958.54E-05  1489.25E-08
630000.E+01  7002.90E-05  1632.34E-08
660000.E+01  7042.79E-05  2188.57E-08
690000.E+01  7090.49E-05  8862.18E-09
720000.E+01  7138.32E-05  2021.48E-08
750000.E+01  7185.25E-05  8282.22E-08
780000.E+01  7226.59E-05  6126.05E-09
810000.E+01  7267.80E-05  5807.09E-09
840000.E+01  7313.38E-05  9748.03E-09
870000.E+01  7359.19E-05  6670.89E-09
900000.E+01  7410.81E-05  1003.75E-08
930000.E+01  7463.25E-05  6736.75E-08
960000.E+01  7512.01E-05  2238.03E-08
990000.E+01  7563.53E-05  1741.73E-08
102000.E+02  7614.36E-05  7025.98E-09
105000.E+02  7670.01E-05  9367.81E-09
108000.E+02  7726.87E-05  1011.58E-08
111000.E+02  7776.87E-05  1071.55E-08
114000.E+02  7827.76E-05  8854.22E-09
117000.E+02  7882.61E-05  2366.03E-08
120000.E+02  7944.83E-05  1513.09E-08
123000.E+02  8014.26E-05  9991.77E-09
126000.E+02  8070.19E-05  9157.89E-09
129000.E+02  8127.22E-05  1009.45E-08
132000.E+02  8190.45E-05  3120.80E-08
135000.E+02  8254.43E-05  8625.00E-09
138000.E+02  8326.26E-05  3493.06E-08
141000.E+02  8401.60E-05  1145.51E-08
144000.E+02  8464.99E-05  1272.04E-08
147000.E+02  8525.02E-05  1316.93E-08
150000.E+02  8595.02E-05  3018.72E-08
153000.E+02  8669.33E-05  2955.27E-08
156000.E+02  8734.52E-05  1461.33E-08
159000.E+02  8788.00E-05  1173.34E-08
162000.E+02  8855.76E-05  2218.52E-08
165000.E+02  8925.88E-05  1155.63E-08
168000.E+02  8996.79E-05  1978.98E-08
171000.E+02  9067.11E-05  1434.22E-08
174000.E+02  9128.40E-05  2314.59E-08
177000.E+02  9182.56E-05  5173.56E-08
180000.E+02  9231.00E-05  2414.98E-08
183000.E+02  9282.53E-05  4192.81E-08
186000.E+02  9319.03E-05  5280.70E-08
189000.E+02  9340.21E-05  1928.82E-08
192000.E+02  9369.30E-05  4462.51E-08
195000.E+02  9377.43E-05  5899.15E-08
198000.E+02  9374.73E-05  3138.58E-08
201000.E+02  9335.59E-05  3894.09E-08
204000.E+02  9294.45E-05  3368.71E-08
207000.E+02  9218.29E-05  4809.67E-08
210000.E+02  9123.67E-05  4152.41E-08
213000.E+02  8972.73E-05  3633.15E-08
216000.E+02  8801.83E-05  6069.43E-08
219000.E+02  8605.39E-05  4977.61E-08
222000.E+02  8346.63E-05  5472.77E-08
225000.E+02  8072.81E-05  4574.83E-08
228000.E+02  7765.86E-05  5440.42E-08
231000.E+02  7428.56E-05  6045.66E-08
234000.E+02  7087.39E-05  5511.33E-08
237000.E+02  6743.55E-05  8278.26E-08
240000.E+02  6449.34E-05  1018.93E-07
243000.E+02  6145.58E-05  6646.78E-08
246000.E+02  5860.75E-05  9645.87E-08
249000.E+02  5564.77E-05  9524.44E-08
252000.E+02  5295.67E-05  1300.13E-07
255000.E+02  4960.24E-05  1378.68E-07
258000.E+02  4563.28E-05  1669.81E-07
261000.E+02  4143.12E-05  1914.38E-07
264000.E+02  3713.60E-05  1809.78E-07
267000.E+02  3323.18E-05  2359.95E-07
270000.E+02  2928.27E-05  3017.12E-07
273000.E+02  2590.93E-05  3441.51E-07
276000.E+02  2237.85E-05  4049.93E-07
279000.E+02  1856.94E-05  4378.82E-07
282000.E+02  1432.09E-05  4417.09E-07
285000.E+02  9811.26E-06  3770.26E-07
288000.E+02  5817.97E-06  2753.23E-07
291000.E+02  2822.31E-06  1570.35E-07
294000.E+02  1027.75E-06  6512.63E-08
297000.E+02  2977.16E-07  2096.10E-08
300000.E+02  7086.11E-08  5636.09E-09
