====== He (2055.3) into Argon                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 10000.E+04 A ;
  Layer # 1- Density = 3.417E19 atoms/cm3 = 2.267 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100000.E+01  2017.72E-05  6964.82E-10
200000.E+01  2019.99E-05  1100.14E-09
300000.E+01  2028.85E-05  1102.13E-08
400000.E+01  2041.58E-05  1581.62E-09
500000.E+01  2047.70E-05  1847.48E-09
600000.E+01  2056.39E-05  4725.05E-09
700000.E+01  2067.72E-05  3186.32E-09
800000.E+01  2081.62E-05  5710.71E-09
900000.E+01  2093.89E-05  5038.19E-09
100000.E+02  2103.81E-05  2735.84E-09
110000.E+02  2114.23E-05  3779.46E-08
120000.E+02  2126.24E-05  6786.67E-09
130000.E+02  2138.44E-05  6146.40E-08
140000.E+02  2150.03E-05  5469.32E-09
150000.E+02  2162.62E-05  8228.99E-09
160000.E+02  2176.17E-05  1624.14E-09
170000.E+02  2190.70E-05  1580.60E-09
180000.E+02  2204.27E-05  4109.74E-09
190000.E+02  2217.40E-05  7184.48E-09
200000.E+02  2230.85E-05  3971.63E-09
210000.E+02  2243.26E-05  2023.86E-08
220000.E+02  2258.49E-05  2369.46E-08
230000.E+02  2274.26E-05  2761.05E-09
240000.E+02  2290.27E-05  5107.59E-09
250000.E+02  2304.61E-05  3544.76E-09
260000.E+02  2320.02E-05  3323.58E-09
270000.E+02  2334.26E-05  3821.70E-09
280000.E+02  2349.67E-05  2277.80E-08
290000.E+02  2368.89E-05  2620.12E-09
300000.E+02  2388.73E-05  2530.64E-09
310000.E+02  2408.47E-05  1126.08E-08
320000.E+02  2423.95E-05  3120.58E-09
330000.E+02  2442.39E-05  2893.25E-09
340000.E+02  2459.19E-05  3107.32E-09
350000.E+02  2475.80E-05  3623.44E-09
360000.E+02  2494.39E-05  4123.97E-09
370000.E+02  2513.63E-05  6798.84E-09
380000.E+02  2533.65E-05  3522.67E-09
390000.E+02  2553.93E-05  5452.13E-09
400000.E+02  2574.28E-05  4253.37E-09
410000.E+02  2594.53E-05  3068.82E-09
420000.E+02  2616.41E-05  5948.05E-09
430000.E+02  2637.83E-05  6084.35E-09
440000.E+02  2661.77E-05  9901.94E-09
450000.E+02  2685.43E-05  3338.69E-09
460000.E+02  2706.47E-05  5233.41E-09
470000.E+02  2727.42E-05  3067.89E-09
480000.E+02  2750.90E-05  1226.27E-08
490000.E+02  2771.71E-05  7001.44E-09
500000.E+02  2794.38E-05  1092.56E-08
510000.E+02  2820.08E-05  6874.74E-09
520000.E+02  2846.61E-05  7377.81E-09
530000.E+02  2866.76E-05  7582.76E-09
540000.E+02  2890.36E-05  6390.16E-09
550000.E+02  2905.96E-05  6127.70E-09
560000.E+02  2924.02E-05  1273.43E-08
570000.E+02  2943.76E-05  8279.11E-09
580000.E+02  2959.73E-05  1170.84E-08
590000.E+02  2967.64E-05  9685.18E-09
600000.E+02  2974.04E-05  9553.15E-09
610000.E+02  2982.60E-05  9188.03E-09
620000.E+02  2980.20E-05  2069.42E-08
630000.E+02  2970.57E-05  1033.81E-08
640000.E+02  2957.26E-05  8192.38E-09
650000.E+02  2931.75E-05  9822.47E-09
660000.E+02  2898.07E-05  1918.15E-08
670000.E+02  2854.70E-05  1289.26E-08
680000.E+02  2789.63E-05  1437.14E-08
690000.E+02  2723.31E-05  1547.44E-08
700000.E+02  2633.46E-05  1652.03E-08
710000.E+02  2538.19E-05  1530.26E-08
720000.E+02  2433.52E-05  1904.72E-08
730000.E+02  2321.49E-05  1910.57E-08
740000.E+02  2206.82E-05  2243.93E-08
750000.E+02  2098.11E-05  2589.06E-08
760000.E+02  1997.51E-05  2669.07E-08
770000.E+02  1897.56E-05  2718.13E-08
780000.E+02  1802.30E-05  2576.07E-08
790000.E+02  1705.88E-05  4187.42E-08
800000.E+02  1597.95E-05  4225.52E-08
810000.E+02  1468.10E-05  4758.99E-08
820000.E+02  1329.08E-05  5826.97E-08
830000.E+02  1189.63E-05  6182.98E-08
840000.E+02  1051.36E-05  8131.39E-08
850000.E+02  9243.03E-06  9776.03E-08
860000.E+02  8022.09E-06  1139.93E-07
870000.E+02  6832.82E-06  1287.97E-07
880000.E+02  5473.05E-06  1427.08E-07
890000.E+02  4010.67E-06  1327.07E-07
900000.E+02  2551.31E-06  1054.03E-07
910000.E+02  1362.48E-06  6938.84E-08
920000.E+02  5359.87E-07  3164.11E-08
930000.E+02  1662.07E-07  1117.13E-08
940000.E+02  3897.18E-08  2981.56E-09
950000.E+02  6574.77E-09  6161.81E-10
960000.E+02  2069.80E-10  1341.62E-11
970000.E+02  0000.00E+00  0000.00E+00
980000.E+02  0000.00E+00  0000.00E+00
990000.E+02  0000.00E+00  0000.00E+00
100000.E+03  0000.00E+00  0000.00E+00
