====== He (2727.6) into ARGON                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 2055.3 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 13000.E+03 A ;
  Layer # 1- Density = 2.601E19 atoms/cm3 = .0172 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
130000.E+00  1535.53E-04  5340.33E-09
260000.E+00  1537.20E-04  8331.00E-09
390000.E+00  1543.75E-04  1408.70E-08
520000.E+00  1553.45E-04  8271.62E-08
650000.E+00  1558.09E-04  1300.32E-08
780000.E+00  1564.51E-04  3397.21E-08
910000.E+00  1572.88E-04  2743.81E-08
104000.E+01  1583.38E-04  4410.57E-08
117000.E+01  1592.70E-04  3834.33E-08
130000.E+01  1600.38E-04  2053.55E-08
143000.E+01  1608.05E-04  2911.98E-07
156000.E+01  1616.86E-04  5066.60E-08
169000.E+01  1626.16E-04  4642.93E-07
182000.E+01  1634.97E-04  3906.79E-08
195000.E+01  1644.30E-04  7281.93E-08
208000.E+01  1654.12E-04  1550.33E-08
221000.E+01  1665.48E-04  1229.89E-08
234000.E+01  1675.67E-04  1302.18E-08
247000.E+01  1685.43E-04  7311.23E-08
260000.E+01  1695.65E-04  2839.78E-08
273000.E+01  1705.05E-04  1565.35E-07
286000.E+01  1716.04E-04  1832.06E-07
299000.E+01  1727.70E-04  1851.72E-08
312000.E+01  1740.16E-04  1715.17E-08
325000.E+01  1750.93E-04  5034.77E-08
338000.E+01  1762.46E-04  2634.94E-08
351000.E+01  1773.33E-04  2891.80E-08
364000.E+01  1784.38E-04  8569.57E-08
377000.E+01  1798.40E-04  1074.15E-07
390000.E+01  1812.95E-04  1960.39E-08
403000.E+01  1828.61E-04  8866.97E-08
416000.E+01  1840.50E-04  2321.42E-08
429000.E+01  1853.86E-04  1597.59E-08
442000.E+01  1867.02E-04  2596.12E-08
455000.E+01  1879.12E-04  2393.72E-08
468000.E+01  1893.20E-04  3804.90E-08
481000.E+01  1906.96E-04  2753.87E-08
494000.E+01  1921.76E-04  4947.69E-08
507000.E+01  1937.65E-04  3572.43E-08
520000.E+01  1952.37E-04  3887.88E-08
533000.E+01  1967.47E-04  2309.89E-08
546000.E+01  1984.16E-04  4245.79E-08
559000.E+01  2000.04E-04  4907.13E-08
572000.E+01  2016.89E-04  7653.68E-08
585000.E+01  2035.47E-04  2054.44E-08
598000.E+01  2051.79E-04  4108.55E-08
611000.E+01  2067.81E-04  2441.82E-08
624000.E+01  2084.34E-04  4595.41E-08
637000.E+01  2101.62E-04  7819.50E-08
650000.E+01  2116.65E-04  1045.55E-07
663000.E+01  2135.74E-04  4717.91E-08
676000.E+01  2155.20E-04  3898.39E-08
689000.E+01  2172.75E-04  6701.72E-08
702000.E+01  2190.12E-04  5150.14E-08
715000.E+01  2205.41E-04  5041.83E-08
728000.E+01  2216.55E-04  4617.00E-08
741000.E+01  2231.44E-04  1123.81E-07
754000.E+01  2245.20E-04  4736.80E-08
767000.E+01  2255.47E-04  9407.23E-08
780000.E+01  2260.26E-04  9055.68E-08
793000.E+01  2265.49E-04  5340.52E-08
806000.E+01  2270.57E-04  7631.51E-08
819000.E+01  2265.68E-04  1511.59E-07
832000.E+01  2257.90E-04  8199.75E-08
845000.E+01  2245.98E-04  6281.74E-08
858000.E+01  2223.28E-04  1091.66E-07
871000.E+01  2199.21E-04  1388.67E-07
884000.E+01  2158.01E-04  7382.27E-08
897000.E+01  2109.34E-04  1423.22E-07
910000.E+01  2057.47E-04  9145.23E-08
923000.E+01  1985.87E-04  1375.46E-07
936000.E+01  1912.82E-04  1088.09E-07
949000.E+01  1833.41E-04  1487.50E-07
962000.E+01  1748.27E-04  1439.33E-07
975000.E+01  1661.67E-04  2010.64E-07
988000.E+01  1581.48E-04  2017.12E-07
100100.E+02  1505.97E-04  1851.94E-07
101400.E+02  1431.81E-04  2049.26E-07
102700.E+02  1359.66E-04  2215.76E-07
104000.E+02  1286.34E-04  3024.31E-07
105300.E+02  1203.89E-04  3298.30E-07
106600.E+02  1102.32E-04  3812.11E-07
107900.E+02  9998.42E-05  4397.37E-07
109200.E+02  8928.81E-05  4843.92E-07
110500.E+02  7906.07E-05  6386.03E-07
111800.E+02  6947.63E-05  7448.07E-07
113100.E+02  6037.51E-05  8777.30E-07
114400.E+02  5138.03E-05  9993.09E-07
115700.E+02  4103.16E-05  1079.20E-06
117000.E+02  3004.11E-05  1011.68E-06
118300.E+02  1902.58E-05  7898.70E-07
119600.E+02  1017.75E-05  5213.07E-07
120900.E+02  4020.33E-06  2374.09E-07
122200.E+02  1258.73E-06  8484.71E-08
123500.E+02  2999.19E-07  2287.29E-08
124800.E+02  5209.29E-08  4895.56E-09
126100.E+02  1663.25E-09  1038.24E-10
127400.E+02  0000.00E+00  0000.00E+00
128700.E+02  0000.00E+00  0000.00E+00
130000.E+02  0000.00E+00  0000.00E+00
