====== H (2055.3) into Foam_Strut               =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : Foam_Strut
Layer Width = 70000.E+01 A ;
  Layer # 1- Density = 8.153E22 atoms/cm3 = 1.2 g/cm3
  Layer # 1- Li = 5.61 Atomic Percent = 4.39 Mass Percent
  Layer # 1-  F = 5.61 Atomic Percent = 12.0 Mass Percent
  Layer # 1-  H = 29.5 Atomic Percent = 3.36 Mass Percent
  Layer # 1-  C = 59.1 Atomic Percent = 80.2 Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
700001.E-02  3040.82E-03  1548.98E-07
140000.E-01  3052.19E-03  2225.19E-07
210000.E-01  3061.87E-03  2420.22E-07
280000.E-01  3077.15E-03  3434.94E-06
350000.E-01  3093.44E-03  3243.01E-07
420000.E-01  3110.54E-03  9643.69E-07
490000.E-01  3133.47E-03  3982.75E-07
560000.E-01  3152.85E-03  4408.03E-07
630000.E-01  3166.80E-03  5728.13E-07
700000.E-01  3184.28E-03  2695.33E-07
770000.E-01  3203.57E-03  2886.03E-07
840000.E-01  3218.48E-03  2692.86E-07
910000.E-01  3234.75E-03  2167.63E-07
980000.E-01  3252.87E-03  4779.73E-07
105000.E+00  3273.21E-03  2987.49E-07
112000.E+00  3297.72E-03  3494.04E-07
119000.E+00  3320.93E-03  5968.92E-07
126000.E+00  3337.66E-03  3426.62E-07
133000.E+00  3356.17E-03  5278.92E-07
140000.E+00  3378.13E-03  5400.72E-07
147000.E+00  3400.21E-03  3331.53E-07
154000.E+00  3426.74E-03  6444.03E-07
161000.E+00  3454.94E-03  2954.69E-06
168000.E+00  3477.18E-03  4432.92E-07
175000.E+00  3498.00E-03  3828.94E-07
182000.E+00  3522.99E-03  2201.19E-06
189000.E+00  3555.01E-03  6346.52E-07
196000.E+00  3582.21E-03  4616.06E-07
203000.E+00  3604.53E-03  3541.04E-07
210000.E+00  3630.93E-03  3446.53E-07
217000.E+00  3663.17E-03  3034.87E-07
224000.E+00  3691.12E-03  1961.38E-06
231000.E+00  3715.72E-03  1482.41E-06
238000.E+00  3752.37E-03  1678.79E-06
245000.E+00  3789.71E-03  3832.73E-07
252000.E+00  3821.29E-03  7072.66E-07
259000.E+00  3851.91E-03  4078.75E-07
266000.E+00  3892.31E-03  4688.31E-07
273000.E+00  3928.07E-03  5775.53E-07
280000.E+00  3972.89E-03  3312.89E-06
287000.E+00  4011.20E-03  1172.03E-05
294000.E+00  4041.27E-03  1135.26E-05
301000.E+00  4083.95E-03  5230.17E-07
308000.E+00  4130.09E-03  5836.76E-07
315000.E+00  4174.89E-03  3274.29E-06
322000.E+00  4218.58E-03  6140.23E-07
329000.E+00  4271.35E-03  4797.43E-07
336000.E+00  4320.29E-03  7569.51E-07
343000.E+00  4370.68E-03  1293.51E-06
350000.E+00  4426.76E-03  1734.12E-06
357000.E+00  4490.13E-03  6403.12E-06
364000.E+00  4553.18E-03  6427.44E-07
371000.E+00  4609.12E-03  4996.87E-07
378000.E+00  4673.12E-03  9591.14E-07
385000.E+00  4745.68E-03  6321.34E-07
392000.E+00  4828.00E-03  5737.33E-07
399000.E+00  4897.12E-03  9731.46E-07
406000.E+00  4976.98E-03  7525.01E-07
413000.E+00  5069.42E-03  7655.84E-07
420000.E+00  5161.76E-03  6757.93E-07
427000.E+00  5254.61E-03  2587.94E-06
434000.E+00  5362.42E-03  9746.39E-07
441000.E+00  5481.33E-03  9525.61E-07
448000.E+00  5602.08E-03  1238.81E-06
455000.E+00  5728.50E-03  3247.00E-06
462000.E+00  5880.13E-03  1275.51E-06
469000.E+00  6027.54E-03  1506.14E-06
476000.E+00  6195.74E-03  1472.61E-06
483000.E+00  6376.30E-03  1368.70E-06
490000.E+00  6586.09E-03  8108.41E-06
497000.E+00  6819.88E-03  4870.04E-06
504000.E+00  7058.00E-03  5613.58E-06
511000.E+00  7341.67E-03  1217.73E-06
518000.E+00  7662.96E-03  4339.30E-06
525000.E+00  8018.31E-03  2554.67E-06
532000.E+00  8407.09E-03  2508.75E-06
539000.E+00  8804.62E-03  2594.64E-06
546000.E+00  9175.66E-03  6615.60E-06
553000.E+00  9405.86E-03  7817.81E-06
560000.E+00  9260.96E-03  6175.26E-06
567000.E+00  8498.59E-03  1289.59E-05
574000.E+00  6780.70E-03  2324.19E-05
581000.E+00  4108.23E-03  3531.17E-05
588000.E+00  1518.32E-03  2806.37E-05
595000.E+00  2716.82E-04  8589.94E-06
602000.E+00  1771.62E-05  8941.01E-07
609000.E+00  3472.12E-07  2829.96E-08
616000.E+00  0000.00E+00  0000.00E+00
623000.E+00  0000.00E+00  0000.00E+00
630000.E+00  0000.00E+00  0000.00E+00
637000.E+00  0000.00E+00  0000.00E+00
644000.E+00  0000.00E+00  0000.00E+00
651000.E+00  0000.00E+00  0000.00E+00
658000.E+00  0000.00E+00  0000.00E+00
665000.E+00  0000.00E+00  0000.00E+00
672000.E+00  0000.00E+00  0000.00E+00
679000.E+00  0000.00E+00  0000.00E+00
686000.E+00  0000.00E+00  0000.00E+00
693000.E+00  0000.00E+00  0000.00E+00
700000.E+00  0000.00E+00  0000.00E+00
