====== H (2727.6) into Layer 1                  =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 70000.E+02 A ;
  Layer # 1- Density = 2.686E19 atoms/cm3 = .1781 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
700000.E-01  2816.59E-04  5296.46E-09
140000.E+00  2824.02E-04  6208.92E-08
210000.E+00  2829.28E-04  3713.29E-08
280000.E+00  2843.42E-04  1398.37E-07
350000.E+00  2857.65E-04  1876.58E-07
420000.E+00  2868.09E-04  2954.47E-08
490000.E+00  2878.52E-04  2604.18E-08
560000.E+00  2893.07E-04  4490.91E-08
630000.E+00  2907.40E-04  2401.54E-08
700000.E+00  2919.65E-04  2836.27E-08
770000.E+00  2930.53E-04  2465.62E-08
840000.E+00  2945.91E-04  1934.48E-08
910000.E+00  2961.64E-04  2618.87E-08
980000.E+00  2977.63E-04  2444.45E-07
105000.E+01  2996.59E-04  1874.89E-08
112000.E+01  3011.17E-04  3431.33E-08
119000.E+01  3026.14E-04  2206.36E-08
126000.E+01  3041.38E-04  6786.90E-08
133000.E+01  3057.31E-04  1312.91E-07
140000.E+01  3073.28E-04  4756.03E-08
147000.E+01  3088.77E-04  7883.55E-08
154000.E+01  3107.82E-04  3525.84E-08
161000.E+01  3124.89E-04  1899.53E-08
168000.E+01  3136.93E-04  1214.83E-07
175000.E+01  3154.37E-04  1805.97E-08
182000.E+01  3174.82E-04  2262.13E-08
189000.E+01  3196.59E-04  4092.19E-08
196000.E+01  3216.49E-04  4303.96E-08
203000.E+01  3235.54E-04  5786.45E-07
210000.E+01  3254.62E-04  4918.71E-08
217000.E+01  3272.50E-04  4395.77E-08
224000.E+01  3290.66E-04  4244.82E-08
231000.E+01  3308.81E-04  2954.33E-08
238000.E+01  3333.51E-04  5940.31E-08
245000.E+01  3358.57E-04  3433.76E-07
252000.E+01  3379.95E-04  1476.91E-07
259000.E+01  3401.84E-04  6733.27E-08
266000.E+01  3425.14E-04  3191.41E-08
273000.E+01  3452.58E-04  2486.25E-08
280000.E+01  3478.30E-04  2594.92E-08
287000.E+01  3501.26E-04  3677.54E-08
294000.E+01  3534.02E-04  4915.06E-08
301000.E+01  3561.31E-04  1701.23E-07
308000.E+01  3581.86E-04  2327.24E-07
315000.E+01  3607.25E-04  9484.34E-08
322000.E+01  3639.04E-04  4808.76E-08
329000.E+01  3669.50E-04  5245.39E-08
336000.E+01  3694.16E-04  4796.07E-08
343000.E+01  3724.51E-04  6922.63E-08
350000.E+01  3765.55E-04  3628.38E-07
357000.E+01  3804.36E-04  5726.60E-08
364000.E+01  3836.76E-04  2816.09E-07
371000.E+01  3870.12E-04  4036.94E-08
378000.E+01  3909.30E-04  3788.32E-08
385000.E+01  3946.17E-04  3955.59E-08
392000.E+01  3984.50E-04  5388.81E-08
399000.E+01  4024.70E-04  3573.99E-08
406000.E+01  4072.95E-04  5271.46E-08
413000.E+01  4119.40E-04  6588.14E-08
420000.E+01  4168.38E-04  9950.62E-08
427000.E+01  4214.36E-04  6909.76E-08
434000.E+01  4264.93E-04  9847.06E-08
441000.E+01  4323.41E-04  8637.40E-08
448000.E+01  4379.13E-04  5985.92E-08
455000.E+01  4442.13E-04  2849.06E-07
462000.E+01  4502.77E-04  8470.80E-08
469000.E+01  4573.06E-04  1007.19E-07
476000.E+01  4654.17E-04  5661.93E-08
483000.E+01  4726.27E-04  7536.93E-08
490000.E+01  4806.40E-04  6100.46E-08
497000.E+01  4902.55E-04  9623.29E-08
504000.E+01  4998.47E-04  6341.59E-08
511000.E+01  5102.23E-04  6510.22E-08
518000.E+01  5222.62E-04  1469.55E-07
525000.E+01  5348.83E-04  7835.92E-08
532000.E+01  5494.28E-04  2554.55E-07
539000.E+01  5645.53E-04  2266.05E-07
546000.E+01  5804.58E-04  8551.85E-08
553000.E+01  6007.52E-04  1264.98E-07
560000.E+01  6229.98E-04  2694.14E-07
567000.E+01  6467.21E-04  1726.78E-07
574000.E+01  6748.77E-04  2753.45E-07
581000.E+01  7085.17E-04  2176.45E-07
588000.E+01  7457.95E-04  2527.58E-07
595000.E+01  7881.20E-04  1857.58E-07
602000.E+01  8301.23E-04  3127.87E-07
609000.E+01  8666.21E-04  2612.33E-07
616000.E+01  8800.50E-04  3965.90E-07
623000.E+01  8480.61E-04  4999.13E-07
630000.E+01  7487.37E-04  8562.37E-07
637000.E+01  5815.93E-04  1278.04E-06
644000.E+01  3689.42E-04  1590.96E-06
651000.E+01  1691.82E-04  1249.47E-06
658000.E+01  5077.92E-05  5486.73E-07
665000.E+01  8582.06E-06  1292.05E-07
672000.E+01  7536.76E-07  1477.60E-08
679000.E+01  1205.02E-08  6885.84E-10
686000.E+01  0000.00E+00  0000.00E+00
693000.E+01  0000.00E+00  0000.00E+00
700000.E+01  0000.00E+00  0000.00E+00
