====== H (10) into Layer 1                      =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2727.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : ARGON
Layer Width = 70000.E+04 A ;
  Layer # 1- Density = 2.610E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =009999.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
700000.E+01  2737.39E-06  5121.51E-11
140000.E+02  2744.34E-06  6136.48E-10
210000.E+02  2749.49E-06  3721.86E-10
280000.E+02  2762.10E-06  1389.17E-09
350000.E+02  2776.08E-06  1861.57E-09
420000.E+02  2785.85E-06  3083.82E-10
490000.E+02  2795.87E-06  1658.42E-10
560000.E+02  2808.29E-06  5231.75E-10
630000.E+02  2822.90E-06  2256.11E-10
700000.E+02  2834.54E-06  2532.01E-10
770000.E+02  2844.99E-06  2998.50E-10
840000.E+02  2858.32E-06  1315.40E-10
910000.E+02  2872.43E-06  2499.25E-10
980000.E+02  2888.21E-06  2437.00E-10
105000.E+03  2905.58E-06  2400.59E-09
112000.E+03  2920.31E-06  3665.82E-10
119000.E+03  2934.53E-06  1743.23E-10
126000.E+03  2949.03E-06  2591.29E-10
133000.E+03  2963.56E-06  6667.80E-10
140000.E+03  2977.99E-06  1281.72E-09
147000.E+03  2993.10E-06  4960.25E-10
154000.E+03  3009.26E-06  7649.38E-10
161000.E+03  3028.58E-06  3199.78E-10
168000.E+03  3039.34E-06  3585.77E-10
175000.E+03  3055.06E-06  1035.30E-09
182000.E+03  3070.27E-06  2144.77E-10
189000.E+03  3091.61E-06  3302.32E-10
196000.E+03  3111.14E-06  2575.04E-10
203000.E+03  3129.97E-06  4269.74E-10
210000.E+03  3147.92E-06  6063.13E-09
217000.E+03  3165.63E-06  1993.48E-10
224000.E+03  3182.75E-06  4458.69E-10
231000.E+03  3199.66E-06  4088.89E-10
238000.E+03  3217.03E-06  2897.27E-10
245000.E+03  3240.84E-06  5973.05E-10
252000.E+03  3264.43E-06  3423.52E-09
259000.E+03  3284.59E-06  1471.38E-09
266000.E+03  3305.22E-06  3081.01E-10
273000.E+03  3327.05E-06  6527.00E-10
280000.E+03  3352.61E-06  2563.38E-10
287000.E+03  3377.20E-06  2451.33E-10
294000.E+03  3399.80E-06  2991.92E-10
301000.E+03  3427.44E-06  3835.96E-10
308000.E+03  3455.71E-06  1803.53E-09
315000.E+03  3477.78E-06  2320.47E-09
322000.E+03  3497.89E-06  1007.60E-09
329000.E+03  3527.14E-06  4819.24E-10
336000.E+03  3557.37E-06  4228.43E-10
343000.E+03  3581.94E-06  4823.88E-10
350000.E+03  3607.24E-06  6700.04E-10
357000.E+03  3642.47E-06  4119.23E-10
364000.E+03  3681.80E-06  3596.90E-09
371000.E+03  3714.60E-06  3054.11E-09
378000.E+03  3743.63E-06  3941.97E-10
385000.E+03  3779.81E-06  2804.47E-10
392000.E+03  3815.88E-06  4081.85E-10
399000.E+03  3850.23E-06  3786.64E-10
406000.E+03  3887.33E-06  5581.44E-10
413000.E+03  3927.41E-06  3495.27E-10
420000.E+03  3974.00E-06  7367.12E-10
427000.E+03  4017.43E-06  1009.19E-09
434000.E+03  4064.18E-06  3861.56E-10
441000.E+03  4107.17E-06  7297.47E-10
448000.E+03  4157.33E-06  1178.93E-09
455000.E+03  4214.23E-06  6717.00E-10
462000.E+03  4263.35E-06  5792.42E-10
469000.E+03  4326.40E-06  2769.73E-09
476000.E+03  4381.86E-06  8354.88E-10
483000.E+03  4451.28E-06  1000.54E-09
490000.E+03  4527.00E-06  5462.06E-10
497000.E+03  4595.20E-06  7463.03E-10
504000.E+03  4670.94E-06  5938.01E-10
511000.E+03  4761.44E-06  9410.24E-10
518000.E+03  4852.57E-06  6469.79E-10
525000.E+03  4948.71E-06  6356.10E-10
532000.E+03  5061.67E-06  9336.42E-10
539000.E+03  5180.06E-06  1193.22E-09
546000.E+03  5313.29E-06  1774.55E-09
553000.E+03  5451.67E-06  2379.80E-09
560000.E+03  5606.73E-06  1545.08E-09
567000.E+03  5786.84E-06  1057.43E-09
574000.E+03  5993.51E-06  2542.30E-09
581000.E+03  6206.40E-06  1850.86E-09
588000.E+03  6459.78E-06  2756.26E-09
595000.E+03  6762.53E-06  1984.91E-09
602000.E+03  7096.87E-06  2284.38E-09
609000.E+03  7478.51E-06  1857.34E-09
616000.E+03  7887.04E-06  2568.54E-09
623000.E+03  8263.05E-06  2697.83E-09
630000.E+03  8529.26E-06  3010.28E-09
637000.E+03  8479.02E-06  4264.31E-09
644000.E+03  7919.50E-06  6212.61E-09
651000.E+03  6690.48E-06  9624.78E-09
658000.E+03  4907.57E-06  1408.45E-08
665000.E+03  2864.82E-06  1531.22E-08
672000.E+03  1170.35E-06  9842.50E-09
679000.E+03  3121.10E-07  3765.45E-09
686000.E+03  4647.82E-08  7337.00E-10
693000.E+03  3762.31E-09  7631.04E-11
700000.E+03  4886.03E-11  1958.16E-12
